1,Mitsubishi,Pellentesque ultrices mattis odio. Donec vitae nisi.,2018-02-14 05:46:36,2018-01-28 12:23:24
2,GMC,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,2017-11-26 18:12:44,2018-03-11 02:04:17
3,Porsche,In eleifend quam a odio.,2018-02-17 18:23:45,2017-09-24 21:24:41
4,Ford,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,2017-11-21 20:09:38,2017-08-07 10:16:09
5,Honda,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2018-01-30 23:45:01,2017-12-20 19:27:34
6,BMW,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",2017-08-22 09:11:09,2018-05-13 16:48:36
7,Nissan,Sed accumsan felis. Ut at dolor quis odio consequat varius.,2017-08-16 11:50:54,2017-09-09 05:11:33
8,Hyundai,Maecenas pulvinar lobortis est.,2017-07-27 21:06:39,2017-06-30 03:57:33
9,Maybach,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,2018-03-23 05:03:51,2017-07-12 00:56:34
10,Mazda,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",2017-10-09 10:24:47,2017-07-24 13:01:45
